output,energyIntake,energyGain,initialSatiation,basalEnergy,brachiationSpeed,swaySpeed,climbSpeed,descentSpeed,probMoveNoFeed,walkSpeed
totalEnergyIntake,2368.0,1922.0,-476.00000000000006,1518.0,85.99999999999999,-354.00000000000017,0.0,0.0,95.99999999999999,0.0
energyExpenditure,5049.869100000115,-16018.836300000152,-1087.13230000001,12319.126899997462,5457.595400000175,1624.3522000000562,0.0,0.0,2345.834100000006,0.0
walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arborealMove,-5.167374055864015,6.597927476675489,1.1861990669447104,-0.17287045602789106,5.327579392604823,1.8078690156694,0.0,0.0,4.9370309846580485,0.0
climbs,5.167374055864014,-6.597927476675482,-1.1861990669447107,0.17287045602787998,-5.32757939260482,-1.8078690156693995,0.0,0.0,-4.93703098465804,0.0
sway,-1.5617735455341852,19.821613355418464,-2.0636849586655934,-8.884168938073621,11.740144114665249,-19.090926116440627,0.0,0.0,-1.471524831906001,0.0
climb,0.6149566292725875,-5.779173066439178,2.063164055533592,4.1997462590693635,-1.4734410169848084,-4.712133640279541,0.0,0.0,-2.862946538901543,0.0
brachiation,-3.605600510329838,-13.223685878742975,3.2498840256102994,8.71129848204573,-6.412564722060427,20.89879513211002,0.0,0.0,6.408555816564044,0.0
descent,4.5524174265914334,-0.8187544102363035,-3.249363122478306,-4.026875803041476,-3.854138375620014,2.904264624610141,0.0,0.0,-2.0740844457564958,0.0
travelDistance,5151.911495861834,-18121.595405125277,-1344.167527385105,9058.782979984944,6018.909954856895,2103.909492924903,0.0,0.0,2674.988745245496,0.0
feedingBudget,-65.35763888888887,33.185879629629625,-13.449305555555561,36.124768518518536,6.7395833333333295,-11.215740740740744,0.0,0.0,4.518287037037034,0.0
travellingBudget,41.86620370370371,-41.84305555555554,3.57291666666667,-6.9768518518518405,-7.276620370370368,10.33217592592593,0.0,0.0,28.274768518518513,0.0
restingBudget,23.491435185185185,8.657175925925923,9.876388888888892,-29.14791666666666,0.5370370370370368,0.8835648148148159,0.0,0.0,-32.793055555555554,0.0
